"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bahrain","BHR","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Bahamas, The","BHS","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.15358108","6.06748254","5.9879881","5.90858532","5.82938271","5.75036515","8.50666852","8.76006067","8.63878612","8.04255238","8.12171808","8.20574986","7.70001746","7.49917791","7.89571178","8.30099942","8.31871508","8.83971004","9.20286965","8.71803308","6.92746665","","","",
"Bosnia and Herzegovina","BIH","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.26503672","1.53948952","2.11391951","2.16835132","0.75646274","0.53645993","1.23917467","1.44476592","1.84936762","3.90071456","6.13533321","11.87604152","8.39923106","4.54221149","2.22525811","7.27795988","0.85236735","1.81397077","2.23893181","8.38961146","8.1798545","","","",
"Belarus","BLR","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05070965","0.11862045","0.12131139","0.11865646","0.12475723","0.14005621","0.37668355","0.37890041","0.70538094","0.74063183","1.51129099","0.90571961","1.94323393","1.80857513","1.30768952","1.37952321","1.21771305","1.22351296","0.70764385","0.54472787","1.21977503","","","",
"Belize","BLZ","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.04719516","10.79977993","10.89492045","13.31437928","12.89117402","12.56240749","13.40347204","20.70431751","13.58624864","13.21871086","6.7835661","10.32289777","6.57286773","5.94718413","27.60935398","8.43504286","4.92757879","4.55262789","7.16109655","8.75027674","2.41892482","","","",
"Bermuda","BMU","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.68814455","2.8750116","3.03086922","4.13974947","4.26395298","3.93367926","3.21517521","2.90521825","4.61297911","3.57127921","3.59017102","5.55018352","5.95383274","5.61365165","4.75410845","5.9915516","6.66902265","4.90446136","3.73493391","2.71156536","6.79579749","","","",
"Brazil","BRA","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.98835283","0.76182327","0.77563652","0.49288636","1.56220438","0.258666","0.51356771","0.49076562","0.37752001","1.07255837","2.19816959","3.48605994","1.18803416","0.66435835","1.39876127","0.62700343","0.59143864","0.62085612","0.73755377","1.2406552","1.01906998","","","",
"Barbados","BRB","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","14.19925526","14.68788465","11.42688723","11.34268036","15.66134248","20.48459535","35.2471408","40.22669303","25.62459954","35.08200994","4.81539478","22.64384447","26.53282966","19.72890468","19.90057563","23.73241847","14.17718031","10.41085269","9.35994307","","","",
"Brunei Darussalam","BRN","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Bhutan","BTN","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.52485553","6.76976519","3.1973289","4.28504436","8.00807233","8.879088","15.72450181","13.48187073","8.59718982","5.41516703","7.92983999","7.54616648","7.28474272","8.33250472","7.51021366","4.89779694","4.62698534","11.54685678","6.15463547","8.03187153","6.86770465","","","",
"Botswana","BWA","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.28105449","27.66129391","26.62347681","33.25297971","32.68268596","31.47888892","26.82192674","44.47376065","39.49281024","24.05530142","19.32126698","20.09901458","18.71423715","36.96969406","31.99825889","25.18311253","20.95316961","42.72952468","35.81817797","39.10537301","20.54472253","","","",
"Central African Republic","CAF","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.14805074","0.64384828","1.64007502","1.60245965","1.33434663","3.21439523","2.91078051","4.05187636","3.63127879","7.49856383","3.76557195","5.47281751","5.14686205","5.56259205","6.67578613","7.33449281","6.64968237","8.6958473","25.26477245","9.46980409","14.40061867","","","",
"Canada","CAN","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Central Europe and the Baltics","CEB","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0748437228324234","0.381992517274953","0.409712629902262","","","","","","","","1.00033514267784","0.331290034047303","","","0.271500513596416","0.536788503086342","0.611018001741974","2.15352453557157","","","",
"Switzerland","CHE","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Channel Islands","CHI","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0.11445876","0.0067727","0.08662228","0.09781267","0.08899115","0.02018179","0.01650955","0.03187669","0.02790073","0.01608491","0","0","0","0","0","0","","",
"China","CHN","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01095157","0.09865026","0.07296908","0.07250398","0.07967548","0.15398395","0.11999359","0.17868344","0.20891216","0.17447836","0.23050634","0.18102505","0.16058613","0.18285425","0.10957818","0.03386435","0.00644134","0.00194593","0.00327115","0.00361335","0.00142376","","","",
"Cote d'Ivoire","CIV","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.87053596","3.75707173","4.22582427","4.52290884","5.63902955","4.16132717","4.63341617","5.53481034","8.77171114","7.5067235","7.60760065","8.83236698","11.65869197","6.22984441","10.68460037","8.17860755","9.91281278","8.94385127","8.71333299","9.57339376","11.5360353","","","",
"Cameroon","CMR","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.76758879","0.61720047","1.08302597","0.90245737","1.39828054","2.02846097","2.04922525","2.51117238","3.29920128","2.89213864","3.96235127","7.01578963","4.42990879","4.13776092","6.55419263","4.98698247","5.03691023","4.7692846","8.24541248","7.33070097","6.91206846","","","",
"Congo, Dem. Rep.","COD","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.94231004","0.87157562","0.70985016","1.26108876","1.52003692","1.740388","2.19650264","2.88085962","6.08514168","5.41921473","5.61396086","5.5316197","5.12827072","6.36979892","7.55280254","7.51414859","8.60691083","7.9634311","6.29625293","7.71007027","7.96603222","","","",
"Congo, Rep.","COG","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.01005205","1.78576216","1.98713171","2.41295453","5.60061979","6.62936611","6.24643202","7.76602739","7.3312915","9.37793256","6.43808442","12.54529529","18.89673962","14.34535413","12.98964749","10.90952113","2.79597384","3.81695468","2.61036187","4.12936195","8.88620932","","","",
"Colombia","COL","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02341129","0.06472257","1.17671798","2.40474901","1.98284739","1.98739479","1.70365975","1.4443507","0.22880287","0.18629999","0.2836361","0.76761139","2.87613498","","","","","","","","","","","",
"Comoros","COM","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.79811163","3.56450689","3.42448264","7.19636266","8.54063541","6.39122336","3.98616419","3.01294385","3.22484883","3.03236732","5.65850976","11.57727423","11.13276741","13.49756812","17.82740285","6.56565411","7.99771095","14.75829757","9.77941145","13.66966965","10.69804354","","","",
"Cabo Verde","CPV","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.51520176","1.78006208","1.94780813","1.35540356","3.61680631","5.12543788","10.13432733","6.53039858","7.74519624","4.03793771","8.63321421","7.18509545","21.77254364","27.690517","27.33061954","5.81202636","7.36212664","13.20139805","17.03592022","11.60273492","23.07332571","","","",
"Costa Rica","CRI","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7538119","3.21580219","1.06968092","0.9639864","0.6713376","0.54783476","0.32110067","0.40120787","0.71635031","1.50364238","1.37813799","0.95942123","0.49274428","0.31876697","0.19835627","0.05574278","0.24695574","0.4570961","0.05604323","0.0095393","1.29420153","","","",
"Caribbean small states","CSS","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.73568544679851","1.25767894679912","2.87928585511556","3.2712480731979","4.8056653220322","4.99743717720836","7.73677977827381","8.67055090602364","9.70114538535031","10.1460075352798","10.358326753892","9.79872432205593","7.28844989248057","5.29385814419792","6.17233944674749","4.93474566323517","5.40377366772434","4.96856607392134","5.0187041616764","4.99684413342563","6.40489822170115","","","",
"Cuba","CUB","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.13357644","0.15227576","0.25087791","0.32555222","0.83273476","0.96689122","0.5404608","0.62801632","1.17768488","0.66663331","0.23982568","1.36762545","0.99489021","0.86006572","0.95263744","0.46969178","1.05423648","0.7524262","0.85683021","1.33995787","0.66483627","","","",
"Curacao","CUW","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.00359072","3.84925547","5.3404525","6.6433288","7.04465957","7.29028922","8.76819118","10.47435407","9.99117122","11.68324468","18.50273654","20.22560288","17.96288749","21.57973243","20.54037069","18.50549711","3.42811615","7.24158544","7.42623059","14.08218123","5.5562378","","","",
"Czechia","CZE","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Germany","DEU","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","7.91473756","10.75245081","5.64485945","5.56001279","5.45441839","6.04824973","5.23238625","5.12660658","5.02567785","7.07160857","12.14520363","8.03603404","11.0166808","17.33541524","18.820543","16.95163582","12.74836723","11.6299409","13.64555545","","","",
"Dominica","DMA","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.58348761","5.42539137","10.79661256","7.37425197","10.04269068","7.1338418","6.97427579","9.43422626","8.77188842","10.38695136","10.04283422","12.0666324","14.15351259","8.79276702","8.71844457","7.71417506","7.79602024","6.56782139","8.77990887","3.18188365","32.38983395","","","",
"Denmark","DNK","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Dominican Republic","DOM","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.55784166","4.18122017","8.17087047","3.37702626","2.30875076","2.88692114","1.82347304","3.31506207","4.09755735","2.2236528","1.82428995","1.54465868","4.39489575","1.83492433","23.9176917","29.33435869","2.58760339","3.23898827","4.32248342","4.05967216","2.8252727","","","",
"Algeria","DZA","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03241736","0.03116472","0.02979527","0.03829156","0.04353941","0.08040982","0.06144141","0.10052078","0.07619053","0.10760916","0.06476168","0.05682066","0.10766644","0.06606419","0.12811003","0.07859187","0.05270428","0.07508852","0.06946136","0.11168751","0.08572689","","","",
"East Asia & Pacific (excluding high income)","EAP","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.178420085011651","0.294263675277431","0.237687624246576","0.280690709071886","0.382883766230297","0.473283584584614","0.503118204478911","0.56683544343158","0.550303466163818","0.640801604250249","0.643986634604818","0.682240193229822","0.754781212691937","0.917980730635646","1.11974330205171","0.671201089884475","0.766663478839564","0.654080495565784","0.500567118731238","0.630296281393626","0.59746244916667","","","",
"Early-demographic dividend","EAR","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.780197371736214","0.851514827293423","0.918856258366378","1.20104591081473","1.89537702022322","2.21582507799488","1.87523126814017","2.14400326748372","2.5299728846027","2.50686096719867","2.84585736732596","3.07008761981505","2.97340596078377","2.89301445447492","2.83973459018213","2.35315065883226","2.2230092862372","2.32659030722845","2.16454895516025","2.37699410115158","2.28333926296845","","","",
"East Asia & Pacific","EAS","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.164811642215598","0.271882567250991","0.219820811782548","0.259540500817317","0.354062386746577","0.437665997065435","0.465474084431155","0.525183751072207","0.51083684954683","0.594293765847362","0.597287850077789","0.633153775669621","0.701573488639973","0.852721167028137","1.03937143073261","0.624655661239016","0.712052876823985","0.608826703900065","0.465643489557147","0.586237623412463","0.575923817357463","","","",
"Europe & Central Asia (excluding high income)","ECA","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.399655993549447","0.370729942194599","0.427742876138076","0.640926753998816","0.708665004816913","0.815524577275263","1.04767180254902","1.33468336367984","1.47741261751927","","","","","","","","","","","0.902884267381689","","","","",
"Europe & Central Asia","ECS","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.34637394","1.40126664","1.03285168","0.75181274","1.77323403","1.01670251","1.80019983","0.92823989","1.01513737","1.10806013","4.76761593","0.71430916","0.75195236","0.64034839","0.84168507","1.05898051","0.86358256","0.62067328","0.53880381","0.50593769","0.74781412","","","",
"Egypt, Arab Rep.","EGY","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.44324257","0.54960188","0.74841939","1.06649168","1.57120616","1.25360391","1.62846798","0.68905329","0.68215076","0.53750106","0.23225492","2.16387174","0.35077613","1.46808383","0.34031773","0.79050773","1.50781401","1.69197026","","","",
"Euro area","EMU","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.08439706","1.93179367","3.3028943","7.1365519","9.27935351","10.78412747","11.9081286","6.05196321","8.55599864","7.87089684","7.40787328","16.18548978","6.82885085","10.50158587","11.02520969","11.06772519","5.15872708","6.69348568","8.53045372","9.90006653","8.1708812","","","",
"Spain","ESP","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Estonia","EST","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03783773","","","1.06745581","3.09137182","2.56209308","3.99595133","4.78933622","4.48174421","3.53783567","16.79763575","14.55122008","3.97492212","0.70421231","2.94854741","2.27726136","2.20003602","0.36187541","0.36744648","0.33202558","0.32947854","","","",
